version,1.0,1.0.1,1.0.2,1.0.3,1.0.4,1.1,1.1.1,1.1.2,1.1.3,1.1.3.1,1.1.4,1.2,1.2.1,1.2.2,1.2.3,1.2.4,1.2.5,1.2.6,1.3,1.3.0,1.3.1,1.3.2,1.4,1.4.0,1.4.1,1.4.2,1.4.3,1.4.4,1.5,1.5.0,1.5.1,1.5.2,1.6,1.6.0,1.6.1,1.6.2,1.6.3,1.6.4,1.7,1.7.0,1.7.1,1.7.2,1.8.0,1.8.1,1.8.2,1.8.3,1.9.0,1.9.1,1.10.0,1.10.1,1.10.2,1.11.0,1.11.1,1.11.2,1.11.3,1.12.0,1.12.1,1.12.2,1.12.3,1.12.4,2.0.0,2.0.1,2.0.2,2.0.3,2.1.0,2.1.1,2.1.2,2.1.3,2.1.4,2.2.0,2.2.1,2.2.2,2.2.3,2.2.4,3.0.0,3.1.0,3.1.1,3.2.0,3.2.1,3.3.0,3.3.1,3.4.0,3.4.1
1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8422,8114,7393,1348,1348,1373,1306,1006,974,777,777,766,755,672,672,672,648,637,638,526,526,488,390,369,369,369,369,320,318,306,306,313,361,365,365,365,350,350,350,350,350,270,270,270,277,293,293,293,293,293,361,361,361,361,361,407,408,392,374,374,352,352,400,398
1.3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8114,7393,1348,1348,1373,1306,1006,974,777,777,766,755,672,672,672,648,637,638,526,526,488,390,369,369,369,369,320,318,306,306,313,361,365,365,365,350,350,350,350,350,270,270,270,277,293,293,293,293,293,361,361,361,361,361,407,408,392,374,374,352,352,400,398
1.3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7827,1358,1358,1383,1316,1016,984,787,787,776,765,676,676,676,652,641,642,530,530,492,387,366,366,366,366,317,315,303,303,310,358,362,362,362,347,347,347,347,347,267,267,267,274,290,290,290,290,290,358,358,358,358,358,404,405,389,371,371,349,349,397,395
1.3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1662,1662,1684,1443,1064,1033,805,805,794,783,694,694,694,670,659,660,548,548,510,405,373,373,373,373,324,322,310,310,317,365,369,369,369,354,354,354,354,354,274,274,274,281,297,297,297,297,297,365,365,365,365,365,411,412,396,378,378,356,356,404,402
1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9802,9345,8389,6157,6004,4947,4947,4777,4688,3121,3121,3107,3008,2946,2947,2503,2503,2448,2142,1230,1230,1230,1230,842,827,775,775,782,775,779,779,779,693,693,693,693,693,646,646,646,653,623,623,623,623,623,630,630,630,630,630,656,656,638,620,620,566,566,553,551
1.4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9345,8389,6157,6004,4947,4947,4777,4688,3121,3121,3107,3008,2946,2947,2503,2503,2448,2142,1230,1230,1230,1230,842,827,775,775,782,775,779,779,779,693,693,693,693,693,646,646,646,653,623,623,623,623,623,630,630,630,630,630,656,656,638,620,620,566,566,553,551
1.4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8942,6593,6445,5229,5229,5055,4968,3262,3262,3248,3149,3087,3088,2629,2629,2590,2215,1299,1299,1299,1299,891,876,818,818,825,818,822,822,822,714,714,714,714,714,687,687,687,694,664,664,664,664,664,671,671,671,671,671,697,697,679,661,661,601,601,588,586
1.4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7406,7327,5999,5999,5799,5690,4147,4147,4097,3933,3863,3864,2799,2799,2790,2383,1328,1328,1328,1328,865,850,792,792,799,792,796,796,796,709,709,709,709,709,688,690,690,697,645,645,645,645,645,675,675,675,675,675,701,701,683,665,665,605,605,592,590
1.4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11112,8942,8942,8565,8437,6568,6568,6534,6252,6058,6059,4471,4471,4414,3686,1921,1887,1887,1853,1213,1220,1115,1115,1118,1054,1058,1058,1058,943,943,943,943,943,842,844,844,847,810,810,811,811,811,817,817,817,817,817,846,847,822,804,804,772,772,691,689
1.4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9403,9403,8971,8858,6912,6912,6877,6505,6309,6310,4648,4648,4610,3774,1973,1939,1939,1905,1259,1266,1161,1161,1164,1087,1091,1091,1091,974,974,974,974,974,886,888,888,891,841,841,842,842,842,848,848,848,848,848,877,878,853,835,835,803,803,722,720
1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13536,12276,12075,9730,9730,9679,9370,8823,8824,6766,6766,6615,5759,3088,3054,3053,3026,1678,1684,1534,1534,1537,1369,1373,1373,1373,1233,1233,1233,1233,1233,1126,1128,1128,1131,1060,1060,1061,1061,1061,1062,1062,1062,1062,1062,1085,1086,1065,1047,1047,1000,1000,913,911
1.5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12276,12075,9730,9730,9679,9370,8823,8824,6766,6766,6615,5759,3088,3054,3053,3026,1678,1684,1534,1534,1537,1369,1373,1373,1373,1233,1233,1233,1233,1233,1126,1128,1128,1131,1060,1060,1061,1061,1061,1062,1062,1062,1062,1062,1085,1086,1065,1047,1047,1000,1000,913,911
1.5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13527,10728,10728,10685,10318,9887,9888,7457,7457,7339,6508,3753,3719,3708,3691,2070,2026,1875,1875,1878,1567,1571,1560,1560,1388,1388,1388,1388,1388,1248,1250,1250,1253,1207,1207,1197,1197,1197,1154,1154,1154,1154,1154,1157,1158,1133,1115,1115,1061,1061,974,972
1.5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11140,11140,11007,10652,10222,10223,7632,7632,7514,6637,3813,3779,3740,3751,2103,2095,1944,1944,1947,1567,1571,1560,1560,1388,1388,1388,1388,1388,1266,1268,1268,1271,1207,1207,1197,1197,1197,1154,1154,1154,1154,1154,1157,1158,1133,1115,1115,1061,1061,960,958
1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14850,14631,14038,13440,13439,10046,10046,9787,8777,5006,4982,4913,4898,2868,2834,2451,2451,2454,1845,1847,1836,1836,1656,1656,1656,1656,1656,1675,1667,1667,1670,1379,1378,1368,1368,1368,1292,1292,1292,1292,1292,1295,1296,1267,1249,1249,1175,1175,1075,1073
1.6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14631,14038,13440,13439,10046,10046,9787,8777,5006,4982,4913,4898,2868,2834,2451,2451,2454,1845,1847,1836,1836,1656,1656,1656,1656,1656,1675,1667,1667,1670,1379,1378,1368,1368,1368,1292,1292,1292,1292,1292,1295,1296,1267,1249,1249,1175,1175,1075,1073
1.6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14383,13772,13772,10285,10285,9992,9002,5212,5188,5115,5100,2972,2938,2554,2554,2557,1885,1887,1876,1876,1697,1697,1697,1697,1697,1692,1684,1684,1687,1358,1357,1347,1347,1347,1269,1269,1269,1269,1269,1272,1273,1252,1234,1234,1160,1160,1060,1058
1.6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14497,14497,10931,10931,10495,9375,5429,5405,5336,5321,2964,2930,2538,2538,2538,1860,1862,1851,1851,1675,1675,1675,1675,1675,1668,1660,1660,1660,1331,1330,1320,1320,1320,1245,1245,1245,1245,1245,1248,1249,1228,1210,1210,1136,1136,1036,1034
1.6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15184,11461,11461,11033,9883,5877,5853,5761,5746,3249,3215,2734,2734,2734,2048,2050,2039,2039,1848,1848,1846,1846,1846,1777,1769,1769,1769,1439,1438,1428,1428,1428,1357,1357,1357,1357,1357,1369,1370,1349,1331,1331,1257,1257,1157,1155
1.6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11463,11463,11035,9885,5879,5855,5763,5748,3251,3217,2736,2736,2736,2050,2052,2041,2041,1851,1851,1849,1849,1849,1778,1770,1770,1770,1440,1439,1429,1429,1429,1358,1358,1358,1358,1358,1370,1371,1350,1332,1332,1258,1258,1158,1156
1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15650,14620,13461,7670,7653,7578,7512,4210,4153,3641,3641,3641,2847,2849,2838,2838,2547,2547,2545,2545,2545,2373,2339,2339,2339,1929,1928,1918,1918,1918,1757,1755,1755,1755,1756,1700,1701,1661,1643,1643,1501,1501,1401,1399
1.7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14620,13461,7670,7653,7578,7512,4210,4153,3641,3641,3641,2847,2849,2838,2838,2547,2547,2545,2545,2545,2373,2339,2339,2339,1929,1928,1918,1918,1918,1757,1755,1755,1755,1756,1700,1701,1661,1643,1643,1501,1501,1401,1399
1.7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14291,8238,8174,8107,8041,4401,4345,3733,3733,3733,2959,2932,2921,2921,2646,2646,2644,2644,2644,2433,2399,2399,2399,1978,1947,1937,1937,1937,1798,1796,1796,1796,1797,1715,1716,1676,1658,1658,1502,1502,1402,1400
1.7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9083,9021,8977,8911,4798,4736,4156,4156,4156,3325,3299,3288,3288,2998,2998,2996,2996,2996,2742,2708,2708,2708,2214,2184,2176,2176,2176,2044,2042,2047,2047,2048,1968,1969,1897,1879,1879,1693,1693,1593,1591
1.8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15168,15020,14911,9001,8852,7752,7758,7647,6235,6227,6217,6217,5235,5254,5252,5252,5252,5785,5635,5625,5513,4604,4612,4602,4602,4602,3844,3842,3847,3847,3848,3340,3341,3217,3150,3147,2831,2831,2730,2728
